from_account,to_account,amount,timestamp,label,device_id,channel,region
3f4b1a70-c074-718e-425a-609f7337c599,dafec8a9-3c71-e0be-f357-956071d79665,150.07,2024-01-01 09:35:13,normal,DEV-ED37A011D446,web,US-EAST
6de59332-9364-f3d0-5024-bdc6dcb33df3,2af43ab7-5e6f-ea07-c453-6f1d41992fdf,65.96,2024-01-01 09:39:00,normal,DEV-4B1847660299,web,US-EAST
382c043f-7cfc-9b79-3875-394ce5d6f6e6,a34b6cf6-2053-da42-f1af-db65b289f224,33.13,2024-01-01 09:51:59,normal,DEV-FDA8EF4BD7A8,web,EU-WEST
9082889b-e1cd-e87f-ec95-5f87ae5ec365,13a4a492-497d-e16d-d4ea-120a5e659654,1536.51,2024-01-01 12:38:00,normal,DEV-E9978FB8A4A3,web,APAC
9f294a8b-d184-6c39-c476-7556f97be2dd,cada4f80-a9e7-82d4-fd08-b32c62d60e93,470.66,2024-01-01 12:39:00,normal,DEV-9005E4CA37E3,web,LATAM
bdf66ba5-dc9c-96de-65a6-74c212738a23,747b6dba-c8fe-3ccd-c8b8-d9c6ed3049cf,254.37,2024-01-01 13:54:00,normal,DEV-B2E3EE8FD6CA,mobile,EU-EAST
1a5165ca-3c7c-1d85-25cf-0041d0a643fe,5ca260c9-eb76-07c9-b08a-4895d4ffa666,517.59,2024-01-01 14:07:00,normal,DEV-6FD10AAF1B46,web,APAC
ab05347f-d556-b37d-8f08-81ee8011316b,1497d658-7010-f719-7e69-5d0d8a3c3b5e,652.3,2024-01-01 14:44:00,normal,DEV-C6827549334E,web,US-WEST
a2178f84-bdb0-25ff-2451-e5a411d059b2,f7dc67e0-3097-4b2b-46a0-2a9b65ec7acd,289.7,2024-01-01 15:27:00,normal,DEV-4999C9F8F4D6,web,APAC
df0f06cb-cb9b-c326-d20e-ac174e20fd1a,7d106c60-8162-7cf1-4394-72e6da587e8a,198.24,2024-01-01 15:31:35,normal,DEV-6B0C09EFA19B,web,APAC
9082889b-e1cd-e87f-ec95-5f87ae5ec365,ab61a7b1-793b-4c32-2050-04943d114802,654.42,2024-01-01 15:36:00,normal,DEV-81695728C50D,web,US-EAST
